modele,prix,date_loc,info
OpelGrandland x1.2ELEGANCE,, 09.07.2022 ALLEMAGNEDétail,ESSENCE19 700 Km2021MANUELLE17438DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
FordEcosport1.0ST LINE,,,
OpelCorsa1.2EDITION,,,
FordKugaCOOL & CONNECTprix initial : 28 590,,,
OpelMovanoEDITIONprix initial : 37 990,,,
OpelGrandland x1.6ULTIMATE,,,
OpelGrandland x1.2ELEGANCEprix initial : 28 500,,,
OpelCorsa1.2ELEGANCEprix initial : 17 990,,,
OpelCorsa-eULTIMATE,,,
OpelCrossland x1.2ELEGANCEprix initial : 24 900,,,
FordTransit custom2.0TREND,,,
OpelGrandland x1.2ELEGANCEprix initial : 27 900,,,
OpelAstra1.6ELEGANCE,,,
OpelAntara2.0COSMO4X4,,,
DaciaSandero1.0prix initial : 17 500,,,
OpelCorsa1.2EDITION,,,
VolkswagenT-cross1.0CROSSprix initial : 19 500,,,
FordBronco2.3OUTER BANKS,,,
FordFiesta1.1COOL & CONNECT,,,
OpelAstra1.2ELEGANCE,,,
OpelInsigniaELEGANCE,,,
MercedesClasse aA 45 amg s2.04MATIC,,,
MercedesClasse vV 300,,,
OpelGrandland x1.2GS LINE,,,
OpelCrossland x1.2GS LINE,,,
OpelAstra1.3ULTIMATE,, 11.05.2023 ALLEMAGNEDétail,ESSENCE40 350 Km2020AUTOMATIQUE17438DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
MercedesClasse bB 200,,,
FordKuga1.5TITANIUM4X4prix initial : 26 490,,,
FordKuga1.5VIGNALE4X4,,,
FordEdge2.0TITANIUM4X4prix initial : 25 990,,,
OpelCrossland x1.2ULTIMATE,,,
AudiA4 avant2.0AMBITIONprix initial : 10 999,,,
FordFiesta1.0ACTIVEprix initial : 17 600,,,
MercedesClasse c breakC 200,,,
HyundaiI201.0,,,
FordTransit custom2.0TRENDprix initial : 39 990,,,
FordTransit custom2.0TRENDprix initial : 39 450,,,
VolkswagenPassat1.8prix initial : 2 500,,,
OpelMokka1.2EDITION,,,
PeugeotRifter1.5ALLURE,,,
OpelGrandland x1.2,,,
ToyotaAygo1.0CONNECTprix initial : 11 490,,,
Peugeot2081.2ACTIVE,,,
IvecoDaily3.0,,,
FordTourneo custom2.0TITANIUM X,,,
NissanQashqai1.3N CONNECTA,,,
NissanNv250CONFORT,,,
FordMondeo sw2.0HYBRID,,,
FordFocus societe,,,
FordTransit custom2.0TREND,,,
Peugeot1081.0ACTIVE,, 05.09.2023 ALLEMAGNEDétail,ESSENCE18 500 Km2019MANUELLE17438DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
BmwSerie 3 cabriolet320sponsorisée,,,
MiniMiniCooper,,,
FordFocus swSt,,,
FordFocus swSt,,,
FordFocus societe,,,
JeepCommanderV6 3.0prix initial : 12 500,,,
RenaultClio1.2LIMITED,,,
OpelCrossland x1.2ULTIMATEprix initial : 21 990,,,
VolkswagenJettaprix initial : 12 500,,,
OpelAstra1.0EDITIONprix initial : 13 900,,,
MercedesClasse clsCls 400EDITION 14MATIC,,,
FordEcosport1.0COOL,,,
VolkswagenTransporterT4,,,
OpelKadettprix initial : 6 700,,,
Mazda2prix initial : 3 700,,,
NissanLeafN CONNECTA,,,
AudiA5V6 2.7,,,
VolkswagenT-roc1.0,,,
OpelCorsa1.2ELEGANCEprix initial : 15 950,,,
VolkswagenLupo,,,
NissanJuke1.6N CONNECTA,,,
NissanTownstarTEKNA,,,
OpelAstra1.4INNOVATION,,,
OpelInsignia1.6EDITION,,,
VolkswagenGolf2.0prix initial : 1 800,,,
MercedesClasse aA 1801.3AMBIENTE,,,
BmwSerie 3 cabriolet320sponsorisée,, 17.11.2023 ITALIEDétail,ESSENCE129 700 Km1987MANUELLE83012DEVIS ASSURANCEVENDEZ
OpelVectra2.2COSMO,,,
MercedesClasse eE 200,,,
OpelAstra cabrio1.8EDITION,,,
MitsubishiColt,,,
SkodaFabia combi1.2COOL EDITION,,,
KiaCarens2.0,,,
Peugeot30081.2ALLURE,,,
MercedesClasse eE 240prix initial : 6 000,,,
MercedesClasse mMl 250,,,
MercedesClasse cC 180,,,
Nissan370zV6 3.7,,,
NissanX-trail2.0N CONNECTA,,,
NissanX-trail1.6N CONNECTA,,,
OpelCorsa1.2ELEGANCEprix initial : 20 900,,,
MercedesClasse c,,,
FordEcosport1.0ST LINE,,,
OpelGrandland x1.2ELEGANCE,,,
FordFiesta1.0ACTIVE,,,
MercedesClasse aA 1801.3,,,
MercedesCitanprix initial : 9 999,,,
VolkswagenGolf sw2.0CONFORTLINEprix initial : 4 000,,,
VolkswagenGolf sw2.0prix initial : 4 000,,,
KiaCarens2.0,,,
NissanQashqai1.2ACENTA,,,
OpelGrandland xHybrid41.6,, 16.11.2023 ALLEMAGNEDétail,HYBRIDE1 000 Km2023AUTOMATIQUE17438DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
VolkswagenGolf2.0,,,
FordKuga1.5COOL,,,
Mc larenMp4-12cV8 3.8,,,
MercedesClasse a,,,
MercedesClasse a1.3,,,
MercedesClasse b,,,
MercedesClasse a2.04MATIC,,,
AudiA6 avantQUATTRO,,,
VolkswagenGolf,,,
MercedesClasse a1.6,,,
HyundaiVeloster1.6,,,
VolkswagenJetta1.6prix initial : 8 000,,,
HyundaiI30prix initial : 9 950,,,
Land roverFreelanderTd42.2HSEAWDprix initial : 12 000,,,
OpelKarl1.0EDITIONprix initial : 8 600,,,
HyundaiKona1.6PREMIUMprix initial : 22 900,,,
VolkswagenGolf sw1.6CONFORTLINE,,,
VolkswagenGolf swGtdprix initial : 19 900,,,
VolkswagenGolf cabriolet1.6LOUNGE,,,
FordFiesta1.0SYNC EDITIONprix initial : 7 950,,,
OpelVectraprix initial : 1 800,,,
VolkswagenPassat ccV6 3.64MOTIONprix initial : 10 800,,,
AudiA1 sportbackSPORTprix initial : 14 900,,,
AudiA1 sportback1.4SPORTprix initial : 14 900,,,
MitsubishiPajero1.8,, 08.11.2023 ALLEMAGNEDétail,ESSENCE109 759 Km2005MANUELLE17440DEVIS ASSURANCEVENDEZ
BmwSerie 5 touring528prix initial : 2 500,,,
MercedesCitanprix initial : 9 999,,,
VolkswagenTransporterT4,,,
FordF250,,,
MgZrprix initial : 3 450,,,
DaciaLoganprix initial : 6 850,,,
VolkswagenGolf1.4,,,
VolkswagenGolfR2.04MOTIONprix initial : 17 000,,,
VolkswagenGolfR32,,,
VolkswagenTouran2.0prix initial : 6 900,,,
NissanNavara,,,
SkodaFabia combi1.4,,,
HummerH2 sut,,,
SkodaSuperb2.0,,,
Fiat500c0.9STARTprix initial : 10 300,,,
VolkswagenTransporterT52.0prix initial : 29 800,,,
MercedesClasse e breakE 350 eprix initial : 29 999,,,
OpelAstra cabrio2.2,,,
MercedesSprinterprix initial : 14 950,,,
Porsche911 targaprix initial : 52 900,,,
VolkswagenGolf sw1.9TRENDLINEprix initial : 1 399,,,
MitsubishiOutlander2.3,,,
VolkswagenTransporterT52.5prix initial : 12 555,,,
VolkswagenTransporterT52.0prix initial : 28 600,,,
MiniMiniOneprix initial : 13 900,, 27.09.2023 ALLEMAGNEDétail,ESSENCE111 000 Km2014MANUELLE17509DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
MercedesClasse glaGla 250AMG LINE4MATICprix initial : 26 000,,,
FordRanchero,,,
MercedesSprinter3132.1prix initial : 14 950,,,
AudiA6 allroadV6 2.5prix initial : 8 500,,,
FiatPanda1.2,,,
VolkswagenGolf cabrioletprix initial : 1 300,,,
FiatPanda,,,
MercedesCitanprix initial : 9 999,,,
OpelCorsa,,,
SeatAlhambra2.0prix initial : 19 999,,,
MercedesClasse slkSlk 230prix initial : 1 999,,,
VolkswagenCaddy1.9prix initial : 2 550,,,
VolkswagenPolo1.2CONFORTLINE,,,
VolkswagenPolo1.0HIGHLINE,,,
RenaultKadjar1.3LIMITED,,,
SuzukiSamurai,,,
Peugeot206,,,
BmwSerie 3325prix initial : 5 800,,,
SeatAltea1.6REFERENCEprix initial : 5 000,,,
VolvoXc60D52.4MOMENTUMAWDprix initial : 10 000,,,
NissanMicra1.2prix initial : 3 400,,,
AudiA4 cabrioletV6 2.5prix initial : 4 799,,,
SkodaOctavia combiRs,,,
CitroenC5 tourer2.0SELECTIONprix initial : 14 490,,,
MercedesClasse e breakE 300,, 12.10.2023 ALLEMAGNEDétail,DIESEL290 621 Km2011AUTOMATIQUE18445DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
MercedesClasse eE 300,,,
SeatAlhambra2.0STYLEprix initial : 22 500,,,
VolkswagenGolf plus2.0STYLE,,,
HondaJazz,,,
DaciaDuster1.6,,,
VolkswagenTiguan allspace2.0prix initial : 38 850,,,
SeatLeon st1.4ST,,,
FiatPanda1.2,,,
FordFiesta,,,
JeepWranglerUnlimited2.8SPORT,,,
VolkswagenTouran2.0prix initial : 7 000,,,
HyundaiTucson,,,
CitroenC2,,,
HondaCr-v2.0ELEGANCEprix initial : 38 990,,,
HondaCr-v2.0ELEGANCE,,,
HondaJazz crosstar1.5EXECUTIVE,,,
HondaCr-v2.0LIFESTYLE,,,
HondaHr-v1.5ELEGANCE,,,
HondaHr-v1.5ADVANCE,,,
PorscheBoxster2.7,,,
VolkswagenGolf1.2CONFORTLINEprix initial : 10 499,,,
HondaJazzE:hev1.5CONFORT,,,
HyundaiI301.6TRENDprix initial : 14 990,,,
MiniMiniOne1.4,,,
Peugeot2061.4STYLEprix initial : 650,, 09.06.2023 ALLEMAGNEDétail,ESSENCE220 000 Km1998AUTOMATIQUE18435DEVIS ASSURANCEVENDEZ
SmartRoadsterprix initial : 12 999,,,
HondaHr-v1.5ADVANCEprix initial : 34 990,,,
AudiA6V6 3.2prix initial : 3 333,,,
HondaJazzE:hev1.5ADVANCEprix initial : 29 990,,,
HondaCr-v2.0prix initial : 12 750,,,
MercedesClasse eE 220AVANTGARDE,,,
ToyotaAltezza,,,
HyundaiGetzprix initial : 2 299,,,
MercedesClasse cC 220AVANTGARDEprix initial : 25 990,,,
Porsche911 cabriolet,,,
MazdaMx51.6prix initial : 7 000,,,
MazdaMx51.6,,,
BmwSerie 1120d xdrive2.0EDITION AVANTAGE,,,
VolkswagenUp!1.0,,,
ToyotaCorolla verso2.0SOL,,,
VolkswagenPassat variant2.0BUSINESS,,,
VolkswagenPassat1.9prix initial : 5 000,,,
VolkswagenTransporterT4,,,
VolkswagenPassat2.0,,,
VolkswagenTiguan2.0HIGHLINE4MOTION,,,
SeatLeon st1.4FR,,,
FordFocus1.8FUN,,,
OpelGrandland x1.2prix initial : 17 000,,,
HondaCr-v1.5EXECUTIVE,,,
HondaCivic tourer1.8LIFESTYLE,, 06.10.2023 ALLEMAGNEDétail,ESSENCE104 150 Km2015MANUELLE18435DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
OpelAstra cabrio1.8prix initial : 5 500,,,
VolkswagenGolfTgi1.4prix initial : 9 400,,,
VolkswagenGolf sw1.4prix initial : 9 400,,,
BmwSerie 5 touring523prix initial : 4 000,,,
VolvoV702.4prix initial : 5 450,,,
SeatLeon st1.4FR,,,
VolkswagenJetta,,,
VolkswagenCaddy utilitaire2.0,,,
VolkswagenCaddy2.0,,,
HondaCivic1.3prix initial : 10 990,,,
SeatLeon st1.4FR,,,
VolkswagenUp!1.0TAKE UP!,,,
VolkswagenGolf swprix initial : 17 000,,,
AudiA4 avantRs43.0QUATTRO,,,
AudiA7 sportback3.0S LINEQUATTROprix initial : 32 899,,,
VolkswagenEos2.0,,,
SkodaOctavia combiRs2.0,,,
VolkswagenPassat variant2.0BUSINESS,,,
OpelMeriva1.4EDITION,,,
VolkswagenPolo1.2LIFE,,,
AudiA6 avantV6 2.4prix initial : 950,,,
AudiA4 avant2.0S LINE,,,
SkodaCitigo1.0,,,
FordFocus sw1.0BUSINESS,,,
FordFocus societeBUSINESS,, 21.10.2023 ALLEMAGNEDétail,ESSENCE100 000 Km2015MANUELLE18435DEVIS ASSURANCEVENDEZ
BmwSerie 3 cabriolet320sponsorisée,,,
PorscheCayenne,,,
OpelCorsa1.4ENERGY,,,
MitsubishiAsx1.6INTENSE,,,
SeatLeon1.8FR,,,
AudiA4 avant2.0S LINEQUATTROprix initial : 18 990,,,
AudiQ5 sportbackSq5,,,
NissanX-trail1.6TEKNA,,,
Peugeot30081.2ACTIVE,,,
HondaCr-v1.6ELEGANCE,,,
VolkswagenGolf1.2TRENDLINEprix initial : 4 490,,,
MercedesClasse cC 250,,,
OpelAstra sports tourer1.6EDITION,,,
MercedesClasse e coupeE 250,,,
AudiA1S12.0QUATTRO,,,
OpelMeriva1.4DESIGN EDITIONprix initial : 6 990,,,
OpelAstra sports tourer1.6SPORT,,,
KiaCeedprix initial : 6 000,,,
SeatAteca2.0XCELLENCE,,,
RenaultClio grandtour0.9LIMITED,,,
MitsubishiPajeroprix initial : 12 900,,,
OpelInsignia sports tourer1.6INNOVATIONprix initial : 13 000,,,
VolkswagenTouran1.2BUSINESSprix initial : 15 990,,,
AudiA1 sportback1.4S LINEprix initial : 11 990,,,
VolkswagenGolfGti2.0prix initial : 17 250,,,
HyundaiI40 wagon1.7,,,
BmwSerie 3 cabriolet320sponsorisée,, 17.11.2023 ITALIEDétail,ESSENCE129 700 Km1987MANUELLE83012DEVIS ASSURANCEVENDEZ
MercedesClasse c breakC 220AVANTGARDE,,,
DaciaDuster1.6LAUREATE4X2,,,
SkodaFabiaprix initial : 11 500,,,
VolkswagenGolf sw1.4TRENDLINE,,,
Mazda31.5,,,
KiaSportage1.6GT LINE,,,
OpelMokka x1.44X4,,,
VolkswagenTransporterprix initial : 6 999,,,
PorscheCayenneprix initial : 67 000,,,
SkodaFabia combi1.4CLASSIC,,,
VolkswagenGolf sportsvan1.4HIGHLINE,,,
FordFiestaprix initial : 3 500,,,
AudiA7 sportback3.0QUATTRO,,,
SkodaEnyaqprix initial : 39 999,,,
KiaVenga1.6,,,
OpelAstra cabrio,,,
SkodaFabia1.2AMBIENTE,,,
SkodaFabia1.4,,,
VolkswagenGolfGti2.0PERFORMANCEprix initial : 23 990,,,
VolkswagenGolfGti2.0prix initial : 24 990,,,
OpelInsignia sports tourer1.6SPORT,,,
VolkswagenPolo1.2FOX,,,
Alfa romeo4c1.75COUPEprix initial : 64 250,,,
VolkswagenPolo1.2TRENDLINE,,,
OpelInsignia sports tourer1.6DYNAMIC,, 14.11.2023 ALLEMAGNEDétail,DIESEL138 000 Km2019AUTOMATIQUE18435DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
BmwSerie 5 touring523,,,
AudiA4 avant2.0,,,
MercedesClasse aA 2001.6BUSINESS,,,
PorscheCayenneV6 3.0prix initial : 66 200,,,
VolkswagenPoloGti2.0,,,
RenaultZoe,,,
VolkswagenPassat variant2.0HIGHLINE,,,
MazdaCx-52.5,,,
HondaZr-vSPORT,,,
HondaZr-vSPORT,,,
VolkswagenFox1.2FOX,,,
SkodaOctavia combi2.0,,,
HyundaiI101.0,,,
ToyotaYaris,,,
DaciaLogan0.9LAUREATE,,,
VolkswagenTransporterT51.9,,,
VolkswagenGolf plus1.9SOUND,,,
VolkswagenPoloGti2.0BEATS,,,
SkodaOctavia combiRs2.0,,,
DaciaLogan mcv0.9LAUREATE,,,
AudiA6,,,
AudiA4 cabriolet,,,
HyundaiI10,,,
VolkswagenPolo1.4LOUNGE,,,
VolkswagenPolo,, 19.11.2023 ALLEMAGNEDétail,ESSENCE199 000 Km2003MANUELLE18435DEVIS ASSURANCEVENDEZ
VolkswagenGolf1.9SOUND,,,
AudiA6,,,
Volvo760,,,
MercedesClasse e300 eprix initial : 5 999,,,
MercedesClasse eE 350,,,
HondaCr-v1.6ELEGANCE,,,
MercedesClasse slSl 500prix initial : 25 999,,,
OpelCrossland x1.2INNOVATION,,,
MercedesClasse glaGla 2001.3prix initial : 44 990,,,
MercedesClasse c breakC 220,,,
MercedesEqb 300,,,
MercedesCla shooting brakeCla 2202.0,,,
MercedesClasse gleGle 400AMG LINE,,,
MercedesClasse gleGle 400,,,
MercedesClasse eE 200prix initial : 7 899,,,
MercedesClasse cC 220AVANTGARDEprix initial : 36 990,,,
MercedesEqaprix initial : 47 490,,,
MercedesClasse clsCls 400prix initial : 58 490,,,
MercedesClasse c breakC 300 deAMBIENTEprix initial : 35 490,,,
MercedesClasse c breakC 220,,,
VolkswagenCrafter2.0,,,
MercedesAmg gt53 amg4MATICprix initial : 104 990,,,
MercedesAmg gt 4 portesGt 53 amg3.04MATICprix initial : 104 990,,,
VolkswagenPassat variantprix initial : 35 500,,,
VolkswagenGolf sportsvan1.5prix initial : 21 950,, 13.07.2023 ALLEMAGNEDétail,ESSENCE39 849 Km2019AUTOMATIQUE18439DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
AudiA6 avant3.0S LINEprix initial : 27 999,,,
MercedesCitan1.5prix initial : 17 890,,,
MercedesCitanprix initial : 17 890,,,
AudiA6 avant3.0SPORTQUATTROprix initial : 26 500,,,
MercedesGle coupe 400,,,
MercedesClasse eE 63 s amgFINAL EDITIONprix initial : 145 990,,,
MercedesClasse vV 3004MATIC,,,
HyundaiTucson1.6prix initial : 30 990,,,
VolkswagenPassat variant2.0prix initial : 33 000,,,
MercedesClasse cC 220,,,
MercedesGlb 180d,,,
MercedesClasse claCla 220prix initial : 49 880,,,
BmwSerie 11161.5SPORT,,,
AudiA42.0SPORTprix initial : 20 450,,,
HyundaiI301.0TRENDprix initial : 23 490,,,
MercedesClasse glcGlc 220prix initial : 50 490,,,
SkodaFabia1.2CLASSICprix initial : 4 750,,,
MercedesVito1162.0prix initial : 32 200,,,
MercedesClasse gleGle 4004MATICprix initial : 79 990,,,
MercedesGlb,,,
HyundaiI201.0TRENDprix initial : 19 490,,,
HyundaiI301.0TRENDprix initial : 23 490,,,
OpelCorsa1.2ELEGANCE,,,
OpelCorsa1.2SPORT,,,
VolvoV50T52.5,, 11.09.2023 ALLEMAGNEDétail,ESSENCE180 000 Km2007MANUELLE18439DEVIS ASSURANCEVENDEZ
MercedesGlb 250prix initial : 46 490,,,
MercedesVito116prix initial : 26 990,,,
ChevroletSpark1.0LSprix initial : 3 499,,,
MercedesClasse gleGle 400prix initial : 81 490,,,
MercedesEqaAMG LINEprix initial : 56 880,,,
MercedesClasse bB 180BUSINESSprix initial : 31 990,,,
MercedesClasse c breakC 200AMBIENTEprix initial : 36 490,,,
MercedesClasse cC 200BUSINESSprix initial : 39 990,,,
MercedesClasse e breakE 300prix initial : 51 990,,,
MercedesClasse eE 300prix initial : 51 990,,,
MercedesCla shooting brakeCla 200AMBIENTEprix initial : 36 490,,,
MercedesClasse glaGla 200AMBIENTEprix initial : 48 490,,,
MercedesClasse vV 220,,,
MercedesVito1142.0,,,
MercedesClasse vV 300AVANTGARDEprix initial : 86 900,,,
FordB-max1.5SYNC EDITIONprix initial : 8 000,,,
MercedesEqs580AMG LINE,,,
OpelOmega break2.2,,,
MercedesClasse bB 200,,,
VolvoV50T5,,,
MercedesClasse cC 200AVANTGARDE,,,
MercedesClasse claCla 220AMG LINE,,,
OpelAstra2.2,,,
SkodaKaroq2.0SPORTLINE,,,
FordTransitVan2.2prix initial : 7 500,, 27.09.2023 ALLEMAGNEDétail,DIESEL200 000 Km2010MANUELLE18439DEVIS ASSURANCEVENDEZ
BmwSerie 5M5V8 4.4sponsorisée,,,
FordTransit2.2prix initial : 7 500,,,
MercedesClasse e breakE 220,,,
MercedesClasse eE 220,,,
OpelMokka1.6prix initial : 14 500,,,
BmwSerie 11182.0prix initial : 6 899,,,
MercedesEqa,,,
MercedesEqa,,,
BmwSerie 3 cabriolet320,,,
VolkswagenPassat,,,
BmwX5prix initial : 13 500,,,
MercedesClasse c breakC 220,,,
MercedesClasse cC 220,,,
MercedesVito2.1,,,
MercedesVito,,,
AudiA4 avantV6 3.0QUATTRO,,,
MercedesClasse mMl 350prix initial : 30 100,,,
AudiA4 avant2.0S LINEQUATTROprix initial : 16 990,,,
OpelAstra gtc1.4prix initial : 8 200,,,
MercedesClasse tT 180 dSTYLE,,,
Audi80prix initial : 1 700,,,
VolkswagenPassat variant2.0CONFORTLINEprix initial : 8 750,,,
VolkswagenPassat variant2.0prix initial : 8 750,,,
VolkswagenPassat2.0CONFORTLINE,,,
MercedesClasse vV 220,,,
VolkswagenTransporterT5,,,
BmwSerie 5M5V8 4.4sponsorisée,, 18.11.2023 SUÈDEDétail,ESSENCE179 000 Km2012AUTOMATIQUE-DEVIS ASSURANCEVENDEZ
OpelCorsa1.2prix initial : 3 350,,,
VolkswagenGolf sw,,,
AudiA3 sportback2.0AMBIENTE,,,
MercedesClasse e breakE 300 de4MATICprix initial : 41 990,,,
MercedesClasse eE 3004MATICprix initial : 41 990,,,
MercedesVitoprix initial : 21 000,,,
MercedesClasse sS 350V6 3.04MATICprix initial : 89 490,,,
AudiA6V6 2.8QUATTROprix initial : 3 000,,,
VolkswagenSharan2.0TECH,,,
MercedesClasse cC 220AVANTGARDE,,,
RenaultEspace2.0,,,
FiatDoblo1.3,,,
MercedesClasse glaGla 2001.3prix initial : 43 990,,,
MercedesClasse glaGla 180prix initial : 42 990,,,
LadaNiva1.7,,,
NissanMicra1.2,,,
MercedesClk cabrioletClk 200,,,
MercedesClasse mMl 350,,,
MercedesSprinter,,,
MercedesClasse glcGlc 300AMG LINE4MATICprix initial : 39 990,,,
VolkswagenGolf2.0prix initial : 12 999,,,
MercedesClasse e coupe250 cAVANTGARDE,,,
MercedesClasse cC 250AVANTGARDE,,,
MercedesClasse e coupeE 250AVANTGARDE,,,
MercedesVito2.0,, 02.11.2023 ALLEMAGNEDétail,DIESEL58 200 Km2021AUTOMATIQUE18439DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
MazdaRx-7prix initial : 6 500,,,
VolkswagenTransporterT4,,,
MercedesVitoprix initial : 33 900,,,
BmwSerie 5530,,,
AudiA11.2prix initial : 10 990,,,
BmwSerie 4 gran coupe420,,,
VolkswagenTransporterT54MOTION,,,
AudiA3 sportback35 tfsi1.5prix initial : 34 500,,,
CitroenC3 aircross1.2SHINE,,,
CitroenC4 aircross1.6TENDANCEprix initial : 12 999,,,
MercedesVito114,,,
MercedesClasse glaGla 250 e1.3,,,
MercedesClasse gleGle 4004MATIC,,,
VolkswagenGolfprix initial : 1 800,,,
MercedesClasse e,,,
BmwZ4Sdrive 28iprix initial : 25 000,,,
AudiA6 avantV6 2.7,,,
AudiA6V6 2.7,,,
BmwSerie 3 compact325prix initial : 3 500,,,
VolkswagenCombi,,,
VolkswagenTiguan2.0TECHprix initial : 16 890,,,
BmwX1Sdrive 18i2.0,,,
VolkswagenTiguan2.0,,,
AudiA4 avantSPORT,,,
CitroenC3 aircrossSHINE,, 14.11.2023 ALLEMAGNEDétail,ESSENCE77 000 Km2018MANUELLE18439DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
FordFocusRs2.0sponsorisée,,,
MercedesSprinterprix initial : 36 990,,,
Rover752.0,,,
VolkswagenTransporterT42.5S,,,
AudiA3 cabriolet1.4AMBITION,,,
MercedesEqs suv450AMG LINE,,,
MercedesVito1162.0prix initial : 32 990,,,
VolkswagenGolf plus1.6,,,
BmwSerie 3 compact316t,,,
ToyotaRav4,,,
VolkswagenCaddy utilitaire,,,
BmwX3Xdrive 35i,,,
OpelAstra,,,
ToyotaMiraiprix initial : 39 890,,,
CitroenC-elysee1.2SELECTIONprix initial : 7 333,,,
FordFocus sw1.5prix initial : 13 999,,,
LexusUx 300eprix initial : 42 980,,,
AudiA6 avant2.0S LINEprix initial : 40 000,,,
MitsubishiAsx1.6,,,
MercedesClasse eE 63 amgV8 5.5prix initial : 44 990,,,
MercedesClasse e breakE 63 amgprix initial : 44 990,,,
JeepCherokee2.2OVERLANDprix initial : 27 990,,,
MitsubishiEclipse cross,,,
MitsubishiEclipse cross,,,
ToyotaYaris1.5CONFORTprix initial : 16 900,,,
CitroenC-zeroTENDANCEprix initial : 12 495,,,
FordFocusRs2.0sponsorisée,, 15.11.2023 FRANCEDétail,ESSENCE117 000 Km2003MANUELLE83300DEVIS ASSURANCEVENDEZ
CitroenC4 cactus1.2SHINE,,,
MgZs evprix initial : 30 420,,,
CitroenC5 aircrossLIVEprix initial : 27 900,,,
MgZs,,,
CitroenC5 aircrossFEELprix initial : 36 430,,,
MgMarvel r,,,
MgMarvel rLUXURY,,,
CitroenSpacetourerFEEL,,,
CitroenC3 aircross1.2prix initial : 19 890,,,
MazdaMx51.5EXCLUSIVE LINEprix initial : 22 950,,,
CitroenC5x,,,
MazdaMx51.5prix initial : 22 950,,,
CitroenC3 aircross1.2SHINEprix initial : 15 890,,,
CitroenC31.2prix initial : 15 890,,,
ToyotaCorolla1.2prix initial : 22 990,,,
MercedesClasse sS 5004MATICprix initial : 29 900,,,
BmwX540d3.0prix initial : 29 999,,,
CitroenC31.2FEEL,,,
VolkswagenT-roc1.5prix initial : 29 900,,,
VolkswagenPolo1.2ALLSTARprix initial : 9 999,,,
ToyotaRav42.0BUSINESSprix initial : 34 980,,,
MitsubishiEclipse cross2.4prix initial : 40 580,,,
MgMg4prix initial : 31 069,,,
RenaultKangoo express1.5prix initial : 9 999,,,
LexusUx 300eLUXURYprix initial : 44 980,, 01.12.2022 ALLEMAGNEDétail,ELECTRIQUE10 449 Km2021AUTOMATIQUE18437DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
SeatIbiza1.0STYLEprix initial : 17 490,,,
LexusUx 300eLUXURYprix initial : 48 990,,,
LexusUx 300eprix initial : 42 980,,,
VolkswagenTiguan1.5CONFORTLINEprix initial : 36 450,,,
RenaultTrafic1.6prix initial : 22 777,,,
ToyotaBz4xCONFORTprix initial : 60 890,,,
ToyotaCorolla1.8prix initial : 25 890,,,
JeepCompass2.0LIMITED,,,
ToyotaHilux2.7EXECUTIVE,,,
CitroenC52.0prix initial : 26 950,,,
CitroenC5 aircrossSHINEprix initial : 26 950,,,
ToyotaHilux2.7INVINCIBLEprix initial : 59 890,,,
CitroenBerlingo1.6,,,
KiaNiro1.6SPIRITprix initial : 24 990,,,
LexusNx 450h+BUSINESS,,,
ToyotaCorolla1.8TSprix initial : 32 980,,,
LexusRx 450hV6 3.5F SPORTAWDprix initial : 69 690,,,
ToyotaCorolla1.8BUSINESS,,,
ToyotaRav4BUSINESSprix initial : 40 980,,,
CasaliniM20prix initial : 17 990,,,
RenaultClio grandtour0.9BOSE,,,
RenaultCaptur0.9LIFEprix initial : 11 999,,,
JeepRenegade4xe1.3Sprix initial : 37 990,,,
ToyotaLand cruiser2.8EXECUTIVEprix initial : 75 390,,,
ToyotaLand cruiser2.8EXECUTIVEprix initial : 75 390,, 22.02.2023 ALLEMAGNEDétail,DIESEL10 Km2023AUTOMATIQUE18437DEVIS ASSURANCEIMPORTEZ CETTE VOITUREVENDEZ
JeepCompass4xe1.3,,,
JeepRenegade4xe1.3LIMITED,,,
JeepRenegade1.6S,,,
NissanJuke1.0TEKNA,,,
ToyotaCorolla1.8BUSINESS,,,
ToyotaCorolla1.8TSprix initial : 29 890,,,
ToyotaRav42.0BUSINESSprix initial : 28 490,,,
ToyotaRav42.5CONFORT4X2prix initial : 40 990,,,
ToyotaCorolla1.8BUSINESS,,,
ToyotaCorolla1.8TS,,,
KiaSportage1.64X4prix initial : 21 990,,,
OpelCorsa1.0prix initial : 3 800,,,
KiaSportage1.64X2prix initial : 31 490,,,
MgZs1.5,,,
ToyotaYaris1.0CONFORTprix initial : 14 990,,,
FordKa1.2TREND,,,
